ID,Name,Designator,Footprint,Quantity
1,47uF,"C1,C2",CAP-TH_BD5.0-P2.00-D0.5-FD,2
2,100nF,"C3,C4",CAP-2.5*6.5*7.2,2
3,4.7n,C5,CAP-2.5*6.5*7.2,1
4,1n,"C6,C8",CAP-2.5*6.5*7.2,2
5,470n,C7,CAP-2.5*6.5*7.2,1
6,DC3-2.54-10PAS,CN1,CONN-TH_10P-P2.54_DC3-2.54-10PAS,1
7,50k,"CUTOFF,CV1_ATT",RES-ADJ-TH_RK097111080J,2
8,1N5819,"D1,D2",DO41-7.6,2
9,CV1,J1,PJM323 TAYDA A-2557,1
10,IN,J3,PJM323 TAYDA A-2557,1
11,OUT,J4,PJM323 TAYDA A-2557,1
12,GATE_LED,"LED1,LED2",LED-3MM/2.54,2
13,BC558,"Q1,Q2",ONSC-TO-92-3-29-11_AM_BL,2
14,10,"R1,R2",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
15,100k,"R4,R5",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
16,1.8k,R6,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
17,470k,R7,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
18,4.7k,R8,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
19,10k,"R9,R10,R12,R14,R15,R18,R19",RES-TH_BD2.4-L6.3-P10.30-D0.6,7
20,220,"R11,R13,R16,R17",RES-TH_BD2.4-L6.3-P10.30-D0.6,4
21,1k8,R20,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
22,100k LOG,RESONANCE,RES-ADJ-TH_RK097111080J,1
23,TL074IN,U1,PDIP-14_L19.3-W6.4-P2.54-LS7.9-BL-1,1
24,LM13700,U2,PDIP16,1
